"","x","y","lo","hi"
"102",23,13,20,42
"130",17,15,20,42
"172",29,17,26,54
"183",41,17,30,62
"208",23,19,26,54
"225",41,19,32,66
"275",53,21,38,78
"373",41,25,38,78
"388",59,25,44,90
"430",35,27,38,78
"438",47,27,42,86
"446",59,27,46,94
"502",47,29,44,90
"531",77,29,54,110
"578",59,31,50,102
"595",77,31,56,114
"634",35,33,44,90
"666",89,33,62,126
"780",41,37,50,102
"815",77,37,62,126
"871",53,39,56,114
"948",47,41,56,114
"966",65,41,62,126
"989",89,41,70,142
"1050",77,43,68,138
"1120",71,45,68,138
"1127",83,45,72,146
"1210",59,47,66,134
"1216",65,47,68,138
"1240",89,47,76,154
"1289",59,49,68,138
"1320",95,49,80,162
"1372",53,51,68,138
"1383",71,51,74,150
"1391",83,51,78,158
"1410",113,51,88,178
"1417",125,51,92,186
"1474",59,53,72,146
"1498",83,53,80,162
"1558",59,55,74,150
"1597",113,55,92,186
"1662",71,57,80,162
"1673",89,57,86,174
"1692",119,57,96,194
"1770",77,59,84,170
"1776",83,59,86,174
"1794",101,59,92,186
"1939",71,63,86,174
"1950",89,63,92,186
"1960",107,63,98,198
"1984",149,63,112,226
"2074",119,65,104,210
"2134",77,67,92,186
"2170",113,67,104,210
"2226",71,69,92,186
"2238",89,69,98,198
"2249",107,69,104,210
"2256",119,69,108,218
"2264",131,69,112,226
"2334",83,71,98,198
"2352",101,71,104,210
"2370",119,71,110,222
"2424",77,73,98,198
"2442",95,73,104,210
"2460",113,73,110,222
"2570",167,75,130,262
"2635",95,77,108,218
"2667",137,77,122,246
"2734",95,79,110,222
"2746",107,79,114,230
"2764",125,79,120,242
"2836",107,81,116,234
"2848",125,81,122,246
"2954",119,83,122,246
"3051",131,85,128,258
"3065",149,85,134,270
"3118",89,87,116,234
"3153",143,87,134,270
"3160",155,87,138,278
"3318",95,91,122,246
"3342",125,91,132,266
"3346",131,91,134,270
"3360",149,91,140,282
"3424",107,93,128,258
"3428",113,93,130,262
"3435",125,93,134,270
"3519",101,95,128,258
"3529",113,95,132,266
"3546",137,95,140,282
"3630",113,97,134,270
"3720",107,99,134,270
"3730",125,99,140,282
"3760",173,99,156,314
